ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
SPN,Superior Energy Services Inc. (SPN),D Sell,C,F,C,D,3-Hold,$18.47,$0.00,0.00%
CBM,Cambrex Corporation (CBM),B Buy,B,A,B,A,3-Hold,$58.25,$0.00,0.00%
WCC,WESCO International Inc. (WCC),C Hold,A,C,A,A,3-Hold,$71.30,$0.00,0.00%
NSA,National Storage Affiliates Trust (NSA),D Sell,D,C,D,D,2-Buy,$22.95,$0.96,4.18%
MYE,Myers Industries Inc. (MYE),C Hold,C,B,D,C,3-Hold,$13.80,$0.54,3.91%
AGRO,Adecoagro S.A. (AGRO),C- Hold,C,D,A,D,3-Hold,$12.56,$0.00,0.00%
POST,Post Holdings Inc. (POST),B Buy,C,A,C,B,3-Hold,$85.37,$0.00,0.00%
WMS,Advanced Drainage Systems Inc. (WMS),C- Hold,C,C,C,C,4-Sell,$24.15,$0.24,0.99%
DIN,DineEquity Inc (DIN),B- Buy,B,F,C,D,4-Sell,$67.62,$3.88,5.74%
PX,Praxair Inc. (PX),B- Buy,C,C,F,C,3-Hold,$117.47,$3.00,2.55%
NAV,Navistar International Corporation (NAV),D- Sell,A,A,D,A,3-Hold,$27.77,$0.00,0.00%
MSGN,MSG Networks Inc. (MSGN),C Hold,B,D,A,C,2-Buy,$21.65,$0.00,0.00%
NVS,Novartis AG (NVS),C+ Hold,B,C,F,C,3-Hold,$73.89,$2.30,3.12%
FE,FirstEnergy Corporation (FE),C Hold,A,C,A,A,3-Hold,$29.89,$1.44,4.82%
NAP,Navios Maritime Midstream Partners LP (NAP),C- Hold,A,D,C,B,4-Sell,$12.32,$1.69,13.72%
NOAH,Noah Holdings Ltd. (NOAH),B Buy,C,C,C,C,3-Hold,$23.44,$0.00,0.00%
BANC,Banc of California Inc. (BANC),B- Buy,C,F,F,F,3-Hold,$16.35,$0.52,3.18%
CCC,Calgon Carbon Corporation (CCC),C+ Hold,A,C,D,B,3-Hold,$16.20,$0.20,1.23%
ETM,Entercom Communications Corporation (ETM),B Buy,B,C,C,B,3-Hold,$15.85,$0.30,1.89%
SEP,Spectra Energy Partners LP (SEP),B- Buy,B,F,A,C,3-Hold,$45.82,$2.70,5.90%
BCR,C.R. Bard Inc. (BCR),A- Buy,C,D,A,D,2-Buy,$237.86,$1.04,0.44%
SE,Spectra Energy Corp (SE),B- Buy,F,D,D,F,2-Buy,$42.89,$1.62,3.78%
MPX,Marine Products Corporation (MPX),B Buy,C,D,A,D,4-Sell,$10.98,$0.24,2.19%
