ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
BC,Brunswick Corporation (BC),B- Buy,A,A,D,A,3-Hold,$60.88,$0.66,1.08%
BAP,Credicorp Ltd. (BAP),C+ Hold,C,C,D,C,2-Buy,$163.96,$2.32,1.41%
NADL,North Atlantic Drilling Ltd. (NADL),D Sell,A,F,A,B,3-Hold,$2.39,$0.00,0.00%
NM,Navios Maritime Holdings Inc. (NM),D Sell,B,D,B,C,3-Hold,$1.94,$0.00,0.00%
BCEI,Bonanza Creek Energy Inc. (BCEI),E+ Sell,A,C,C,B,2-Buy,$2.04,$0.00,0.00%
MHK,Mohawk Industries Inc. (MHK),A Buy,C,A,C,B,4-Sell,$215.39,$0.00,0.00%
NLY,Annaly Capital Management Inc (NLY),C Hold,B,F,C,D,2-Buy,$10.31,$1.20,11.64%
WAL,Western Alliance Bancorporation (WAL),A Buy,D,C,B,C,2-Buy,$50.11,$0.00,0.00%
AYR,Aircastle Limited (AYR),B Buy,A,B,C,A,3-Hold,$22.79,$1.04,4.56%
SLCA,U.S. Silica Holdings Inc. (SLCA),C Hold,F,F,A,F,2-Buy,$58.22,$0.25,0.43%
UBA,Urstadt Biddle Properties Inc. (UBA),A- Buy,D,C,C,D,2-Buy,$22.54,$1.06,4.70%
RAI,Reynolds American Inc (RAI),A+ Buy,F,F,B,F,4-Sell,$60.39,$1.84,3.05%
AFL,Aflac Incorporated (AFL),B Buy,A,F,F,C,3-Hold,$68.61,$1.72,2.51%
MCK,McKesson Corporation (MCK),C Hold,A,C,A,A,3-Hold,$138.84,$1.12,0.81%
USDP,USD Partners LP (USDP),D Sell,A,A,C,A,3-Hold,$15.20,$1.29,8.49%
DLNG,Dynagas LNG Partners LP (DLNG),C+ Hold,A,C,F,B,3-Hold,$16.85,$1.69,10.03%
MAC,Macerich Company (The) (MAC),C+ Hold,D,F,C,F,4-Sell,$69.34,$2.84,4.10%
KMI,Kinder Morgan Inc. (KMI),C Hold,D,F,F,F,3-Hold,$22.94,$0.50,2.18%
OC,Owens Corning Inc (OC),A+ Buy,A,A,B,A,4-Sell,$55.00,$0.80,1.45%
LYG,Lloyds Banking Group PLC (LYG),D+ Sell,C,F,D,D,4-Sell,$3.34,$0.13,3.93%
VPG,Vishay Precision Group Inc. (VPG),C+ Hold,B,B,C,A,3-Hold,$16.60,$0.00,0.00%
TPC,Tutor Perini Corporation (TPC),C Hold,A,A,F,A,3-Hold,$30.50,$0.00,0.00%
LMT,Lockheed Martin Corporation (LMT),B Buy,C,C,B,C,3-Hold,$254.46,$7.28,2.86%
BCE,BCE Inc. (BCE),B Buy,B,C,D,C,3-Hold,$44.06,$2.03,4.61%
GNRC,Generac Holdlings Inc. (GNRC),C Hold,B,D,B,C,4-Sell,$40.60,$0.00,0.00%
KEP,Korea Electric Power Corporation (KEP),B- Buy,A,A,F,A,3-Hold,$18.29,$0.00,0.00%
THG,The Hanover Insurance Group Inc. (THG),A Buy,A,C,D,B,3-Hold,$90.10,$2.00,2.22%
ALE,Allete Inc. (ALE),A Buy,C,F,B,D,3-Hold,$65.87,$2.08,3.16%
SN,Sanchez Energy Corporation (SN),D- Sell,C,A,B,A,2-Buy,$13.46,$0.00,0.00%
KB,KB Financial Group Inc (KB),B- Buy,B,F,B,D,1-SB,$41.69,$0.00,0.00%
NMFC,New Mountain Finance Corporation (NMFC),B Buy,D,F,C,F,3-Hold,$14.55,$1.36,9.35%
DLPH,Delphi Automotive PLC (DLPH),B Buy,A,A,C,A,3-Hold,$73.74,$1.16,1.57%
RL,Ralph Lauren Corporation (RL),C Hold,A,D,A,B,3-Hold,$76.17,$2.00,2.63%
NVTA,Invitae Corporation (NVTA),D Sell,F,D,F,F,4-Sell,$9.06,$0.00,0.00%
PKE,Park Electrochemical Corporation (PKE),C Hold,D,F,D,F,4-Sell,$18.46,$0.40,2.17%
CLW,Clearwater Paper Corporation (CLW),B- Buy,B,D,C,C,3-Hold,$63.20,$0.00,0.00%
RM,Regional Management Corp. (RM),C+ Hold,A,B,C,A,3-Hold,$24.80,$0.00,0.00%
NSM,Nationstar Mortgage Holdings Inc. (NSM),D+ Sell,A,B,F,B,3-Hold,$18.72,$0.00,0.00%
BETR,Amplify Snack Brands inc. (BETR),D Sell,C,B,F,C,3-Hold,$10.26,$0.00,0.00%
BMS,Bemis Company Inc. (BMS),B+ Buy,B,B,B,A,3-Hold,$48.84,$1.16,2.38%
DE,Deere & Company (DE),B Buy,B,B,D,B,3-Hold,$107.99,$2.40,2.22%
WR,Westar Energy Inc. (WR),A- Buy,C,B,C,C,3-Hold,$54.68,$1.52,2.78%
CBI,Chicago Bridge & Iron Company N.V. (CBI),C Hold,A,B,F,B,2-Buy,$33.33,$0.28,0.84%
PSX,Phillips 66 (PSX),C+ Hold,B,B,C,A,3-Hold,$79.95,$2.52,3.15%
SNA,Snap-On Incorporated (SNA),A+ Buy,B,B,A,B,2-Buy,$169.78,$2.84,1.67%
JBT,John Bean Technologies Corporation (JBT),A Buy,D,D,C,F,3-Hold,$87.60,$0.40,0.46%
CBR,Ciber Inc. (CBR),D Sell,C,D,A,C,3-Hold,$0.29,$0.00,0.00%
PGRE,Paramount Group Inc. (PGRE),C Hold,D,F,C,F,3-Hold,$16.70,$0.38,2.28%
CAJ,Canon Inc. (CAJ),C+ Hold,A,C,F,C,2-Buy,$29.00,$1.18,4.05%
MSG,MSG Networks Inc. (MSG),C- Hold,F,A,F,D,2-Buy,$175.37,$0.00,0.00%
MCO,Moody's Corporation (MCO),B- Buy,D,B,D,C,3-Hold,$106.17,$1.48,1.39%
USG,USG Corporation (USG),B Buy,A,C,F,B,3-Hold,$30.85,$0.00,0.00%
PNC,PNC Financial Services Group Inc. (The) (PNC),A- Buy,D,F,A,D,2-Buy,$122.16,$2.20,1.80%
ENVA,Enova International Inc. (ENVA),D- Sell,A,A,F,A,5-SS,$15.05,$0.00,0.00%
VMI,Valmont Industries Inc. (VMI),C Hold,C,C,A,B,4-Sell,$145.10,$1.50,1.03%
LPL,LG Display Co. Ltd. (LPL),B- Buy,A,B,B,A,1-SB,$13.18,$0.00,0.00%
BKFS,Black Knight Financial Services Inc. (BKFS),C Hold,B,A,A,A,4-Sell,$37.90,$0.00,0.00%
NSR,Neustar Inc. (NSR),B Buy,A,D,D,B,3-Hold,$33.20,$0.00,0.00%
BBY,Best Buy Co. Inc. (BBY),B+ Buy,A,B,B,A,4-Sell,$44.73,$1.12,2.50%
SHAK,Shake Shack Inc. (SHAK),D Sell,F,B,F,D,4-Sell,$35.40,$0.00,0.00%
ESS,Essex Property Trust Inc. (ESS),A Buy,F,C,C,D,3-Hold,$223.08,$6.40,2.87%
VOYA,Voya Financial Inc. (VOYA),C Hold,A,F,F,C,3-Hold,$41.14,$0.04,0.10%
MRC,MRC Global Inc. (MRC),D+ Sell,C,A,A,A,2-Buy,$20.78,$0.00,0.00%
PG,Procter & Gamble Company (The) (PG),B+ Buy,D,D,C,D,3-Hold,$87.41,$2.68,3.06%
DRQ,Dril-Quip Inc. (DRQ),C Hold,C,C,F,C,3-Hold,$63.00,$0.00,0.00%
IRET,Investors Real Estate Trust (IRET),C- Hold,C,F,D,F,3-Hold,$6.55,$0.28,4.27%
EIX,Edison International (EIX),B+ Buy,C,D,B,C,4-Sell,$72.54,$2.17,2.99%
PXD,Pioneer Natural Resources Company (PXD),C Hold,F,C,A,C,3-Hold,$183.84,$0.08,0.04%
KKR,KKR & Co. L.P. (KKR),C Hold,B,C,A,B,3-Hold,$17.61,$0.64,3.63%
HRTG,Heritage Insurance Holdings Inc. (HRTG),C+ Hold,A,D,B,B,3-Hold,$14.36,$0.24,1.67%
GPT,Gramercy Property Trust (GPT),C Hold,D,C,D,D,3-Hold,$26.83,$1.50,5.59%
HCLP,Hi-Crush Partners LP (HCLP),D+ Sell,F,F,B,F,2-Buy,$20.40,$0.00,0.00%
BW,Babcock (BW),C Hold,A,D,B,B,2-Buy,$16.77,$0.00,0.00%
VALE,VALE S.A. (VALE),C- Hold,B,B,A,A,3-Hold,$9.73,$0.04,0.42%
GLOP,GasLog Partners LP (GLOP),D+ Sell,B,D,A,B,3-Hold,$22.55,$1.96,8.69%
AHT,Ashford Hospitality Trust Inc (AHT),D Sell,A,B,A,A,4-Sell,$7.97,$0.48,6.02%
S,Sprint Corporation (S),D+ Sell,C,B,F,C,3-Hold,$8.43,$0.00,0.00%
EQC,Equity Commonwealth (EQC),B- Buy,F,F,C,F,4-Sell,$30.93,$0.00,0.00%
OEC,Orion Engineered Carbons S.A (OEC),C- Hold,A,A,F,A,3-Hold,$21.20,$0.70,3.31%
ERJ,Embraer-Empresa Brasileira de Aeronautica (ERJ),C Hold,B,F,A,C,3-Hold,$23.02,$0.00,0.00%
MRIN,Marin Software Incorporated (MRIN),D Sell,F,A,B,C,3-Hold,$2.20,$0.00,0.00%
DAL,Delta Air Lines Inc. (DAL),B Buy,A,B,B,A,2-Buy,$47.81,$0.81,1.69%
STI,SunTrust Banks Inc. (STI),A- Buy,C,F,C,F,2-Buy,$57.97,$1.04,1.79%
GWR,Genesee & Wyoming Inc. (GWR),C+ Hold,B,D,F,D,3-Hold,$75.62,$0.00,0.00%
WD,Walker & Dunlop Inc. (WD),C+ Hold,A,A,B,A,3-Hold,$32.95,$0.00,0.00%
PSA,Public Storage (PSA),B Buy,F,C,D,D,3-Hold,$216.53,$8.00,3.69%
DD,E.I. du Pont de Nemours and Company (DD),B Buy,C,A,D,B,3-Hold,$76.43,$1.52,1.99%
MIXT,MiX Telematics Limited (MIXT),B- Buy,A,A,F,A,1-SB,$7.73,$0.10,1.34%
ESNT,Essent Group Ltd. (ESNT),A- Buy,B,B,C,A,2-Buy,$35.91,$0.00,0.00%
KBR,KBR Inc. (KBR),C Hold,B,F,C,D,3-Hold,$16.66,$0.32,1.92%
CAH,Cardinal Health Inc. (CAH),B Buy,A,C,C,B,3-Hold,$74.87,$1.80,2.40%
DLB,Dolby Laboratories (DLB),B- Buy,C,A,F,C,2-Buy,$48.22,$0.56,1.16%
EQR,Equity Residential (EQR),B Buy,F,F,F,F,3-Hold,$60.38,$2.02,3.34%
MDR,McDermott International Inc. (MDR),C Hold,B,B,F,C,1-SB,$8.28,$0.00,0.00%
MDP,Meredith Corporation (MDP),B Buy,C,B,A,B,2-Buy,$61.90,$1.98,3.20%
JEC,Jacobs Engineering Group Inc. (JEC),B- Buy,B,A,D,A,2-Buy,$59.22,$0.00,0.00%
KOS,Kosmos Energy Ltd. (KOS),D Sell,D,F,F,F,2-Buy,$6.53,$0.00,0.00%
LUV,Southwest Airlines Company (LUV),A Buy,B,D,D,C,2-Buy,$52.88,$0.40,0.76%
